version,config,full_name,nn,sr,relevant_sr,trigger,mask_area,n_images,config_dir,qwen_file
v14,text_dag_adaptive_ss2.0_st0.3,v14/text_dag_adaptive_ss2.0_st0.3,16.7700,65.1899,79.5367,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss2.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss2.0_st0.3/results.txt
v14,text_dag_adaptive_ss2.0_st0.4,v14/text_dag_adaptive_ss2.0_st0.4,19.9400,67.4051,79.7753,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss2.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss2.0_st0.4/results.txt
v14,text_dag_adaptive_ss3.0_st0.2,v14/text_dag_adaptive_ss3.0_st0.2,11.3900,64.8734,90.3084,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss3.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss3.0_st0.2/results.txt
v14,text_dag_adaptive_ss3.0_st0.3,v14/text_dag_adaptive_ss3.0_st0.3,11.3900,63.6076,86.6379,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss3.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss3.0_st0.3/results.txt
v14,text_dag_adaptive_ss3.0_st0.4,v14/text_dag_adaptive_ss3.0_st0.4,12.3400,66.7722,86.8313,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss3.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss3.0_st0.4/results.txt
v14,text_dag_adaptive_ss5.0_st0.2,v14/text_dag_adaptive_ss5.0_st0.2,6.3300,56.3291,91.2821,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss5.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss5.0_st0.2/results.txt
v14,text_dag_adaptive_ss5.0_st0.3,v14/text_dag_adaptive_ss5.0_st0.3,6.6500,56.3291,88.1188,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss5.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss5.0_st0.3/results.txt
v14,text_dag_adaptive_ss5.0_st0.4,v14/text_dag_adaptive_ss5.0_st0.4,7.2800,59.8101,90.4306,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss5.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss5.0_st0.4/results.txt
v14,text_hybrid_ss1.0_st0.2,v14/text_hybrid_ss1.0_st0.2,62.6600,54.7468,56.3518,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_hybrid_ss1.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_hybrid_ss1.0_st0.2/results.txt
v14,text_hybrid_ss1.0_st0.3,v14/text_hybrid_ss1.0_st0.3,63.2900,53.1646,54.5455,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_hybrid_ss1.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_hybrid_ss1.0_st0.3/results.txt
v14,text_hybrid_ss1.0_st0.4,v14/text_hybrid_ss1.0_st0.4,63.2900,52.8481,54.3974,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_hybrid_ss1.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_hybrid_ss1.0_st0.4/results.txt
